Date,Item Name,Low Price,Average Price,High Price
01-01-2024,કપાસ બી. ટી.,1000,1151,1461
01-01-2024,ઘઉં લોકવન,450,550,581
01-01-2024,ઘઉં ટુકડા,550,608,722
01-01-2024,મગફળી જીણી,911,1286,1375
01-01-2024,સિંગ ફાડીયા,1050,1461,1701
01-01-2024,એરંડા / એરંડી,1041,1131,1146
01-01-2024,જીરૂ,3000,5251,5801
01-01-2024,ક્લંજી,2400,2911,3131
01-01-2024,ધાણા,901,1361,1491
01-01-2024,લસણ સુકું,1851,3011,3441
01-01-2024,ડુંગળી લાલ,71,281,421
01-01-2024,અડદ,1051,1651,1791
01-01-2024,મઠ,1141,1141,1141
01-01-2024,તુવેર,1351,1951,2001
01-01-2024,રાયડો,811,941,951
01-01-2024,મેથી,1041,1151,1151
01-01-2024,સુરજમુખી,721,721,721
01-01-2024,મગફળી જાડી,1041,1131,1146
01-01-2024,સફેદ ચણા,969,1776,2301
01-01-2024,ધાણી,1001,1391,1521
01-01-2024,ડુંગળી સફેદ,201,291,331
01-01-2024,બાજરો,451,451,451
01-01-2024,જુવાર,571,1061,1091
01-01-2024,મકાઇ,441,521,531
01-01-2024,મગ,1271,1811,1971
01-01-2024,ચણા,951,1061,1276
01-01-2024,વાલ,951,1521,2131
01-01-2024,ચોળા / ચોળી,1131,631,1631
01-01-2024,સોયાબીન,801,906,916
01-01-2024,ગોગળી,600,950,1241
02-01-2024,ઘઉં લોકવન,410,546,591
02-01-2024,ઘઉં ટુકડા,550,612,710
02-01-2024,મગફળી જીણી,901,1281,1441
02-01-2024,સિંગદાણા જાડા,1050,1451,1741
02-01-2024,એરંડા / એરંડી,1081,1111,1131
02-01-2024,જીરૂ,3101,5151,5651
02-01-2024,ધાણા,951,1351,1461
02-01-2024,લસણ સુકું,1991,3141,3691
02-01-2024,ડુંગળી લાલ,71,336,491
02-01-2024,અડદ,1161,1761,1831
02-01-2024,મઠ,1081,1111,1121
02-01-2024,તુવેર,1251,1771,1981
02-01-2024,રાયડો,891,891,891
02-01-2024,રાય,1271,1271,1271
02-01-2024,મેથી,1051,1091,1201
02-01-2024,સુરજમુખી,471,471,471
02-01-2024,મગફળી જાડી,821,1311,1456
02-01-2024,નવું લસણ,3041,3041,3041
02-01-2024,સફેદ ચણા,1051,1251,1376
02-01-2024,ધાણી,1000,1391,1601
02-01-2024,ડુંગળી સફેદ,191,241,291
02-01-2024,બાજરો,421,471,471
02-01-2024,મકાઇ,400,451,511
02-01-2024,મગ,1351,1761,2071
02-01-2024,ચણા,1001,1056,1101
02-01-2024,વાલ,901,2171,2191
02-01-2024,ચોળા / ચોળી,1721,1721,2501
02-01-2024,સોયાબીન,801,901,911
02-01-2024,રજકાનું બી,1991,1991,1991
02-01-2024,ગોગળી,500,700,1000
03-01-2024,ઘઉં લોકવન,406,552,586
03-01-2024,ઘઉં ટુકડા,510,602,702
03-01-2024,મગફળી જીણી,911,1291,1416
03-01-2024,સિંગ ફાડીયા,1050,1451,1651
03-01-2024,એરંડા / એરંડી,1000,1116,1131
03-01-2024,જીરૂ,4301,5401,6101
03-01-2024,ક્લંજી,1600,2101,3051
03-01-2024,ધાણા,1001,1351,1461
03-01-2024,લસણ સુકું,2491,3451,4381
03-01-2024,ડુંગળી લાલ,71,311,471
03-01-2024,અડદ,1111,1771,1821
03-01-2024,મઠ,1051,1051,1051
03-01-2024,તુવેર,1201,1881,1981
03-01-2024,રાજગરો,1621,1621,1621
03-01-2024,રાય,1001,1251,1291
03-01-2024,મેથી,751,1061,1161
03-01-2024,મરચા,1001,3151,4001
03-01-2024,મગફળી જાડી,851,1321,1486
03-01-2024,ધાણી,1101,1381,1611
03-01-2024,ડુંગળી સફેદ,201,281,331
03-01-2024,બાજરો,441,491,491
03-01-2024,જુવાર,551,961,981
03-01-2024,મકાઇ,421,511,561
03-01-2024,મગ,1251,1841,1951
03-01-2024,ચણા,1000,1056,1071
03-01-2024,વાલ,1041,1201,1501
03-01-2024,ચોળા / ચોળી,1061,1171,3051
03-01-2024,સોયાબીન,801,896,906
03-01-2024,રજકાનું બી,3281,3281,3281
03-01-2024,ગોગળી,400,900,1100
04-01-2024,કપાસ બી. ટી.,1000,1151,1451
04-01-2024,ઘઉં લોકવન,401,521,570
04-01-2024,ઘઉં ટુકડા,510,580,665
04-01-2024,મગફળી જીણી,911,1291,1441
04-01-2024,સિંગ ફાડીયા,1021,1351,1681
04-01-2024,એરંડા / એરંડી,1071,1121,1141
04-01-2024,જીરૂ,4801,5501,6301
04-01-2024,ધાણા,1001,1331,1551
04-01-2024,લસણ સુકું,2991,3651,4571
